책장명,도서분류,책제목,작가,출판사,상세내용
1번 책장,잡지,엉클어진 기억,사라 레빗,우리나비,"엄마의 치매, 가족에게 일어난 변화와 일상의 과정을 그려낸 그래픽노블! 사라 레빗 그래픽노블 『엉클어진 기억』. 문학과 예술, 창작 활동에 열정적이었으며 동식물과 자연을 사랑하고..."
1번 책장,잡지,Peanuts 아트 오브 피너츠,찰스 M. 슐츠,윌북,찰리 브라운 탄생 66주년 기념《피너츠》오리지널 아트북! 찰스 M. 슐츠 갤러리가 참여한 유일한 피너츠 오리지널 아트북『Peanuts 아트 오브 피너츠』. 카툰 시리즈 가운데 영향력 있는...
1번 책장,잡지,노마드 베이비 미루,최승연,피그마리온,"생후 6개월 아기 ‘미루’가 떠난 여행, 마침내 마주한 세상! 여기 생후 6개월 아기와 함께 유럽여행을 떠난 한국인 엄마 승연과, 네덜란드 아빠 카밀이 있다. 카우치서핑, 서블렛, 공항..."
1번 책장,잡지,반 고흐,바바라 스톡,미메시스,"재미있는 만화로 풀어본 고흐의 일생! 네덜란드의 만화가 바바라 스톡의 그래픽노블 만화 『반 고흐』. 이 책은 고흐의 생애를 그린 그래픽 전기다. 고흐는 막역했던 고갱과의 의절, 지독한..."
1번 책장,잡지,"잘 자, 코코",정미진,엣눈북스,"정미진 소설 『잘 자, 코코』. 주인공은 이사를 와 짐을 정리하기 시작한다. 그러다가 헤어진 연인이 남긴 물건들을 보며 감상에 잠기고……. 쓸쓸한 마음에 짐 정리를 멈추고 연인에게 편지..."
1번 책장,잡지,가을,존 맥노트,미메시스,"존 맥노트의 그래픽 노블 『가을』. 닥우드는 인구가 26,000명에 지나지 않는 영국의 동남부에 위치한 작은 마을이다. 10월의 어느 구름 낀 화요일, 마을 사람들은 똑같은 일상을 보내고..."
1번 책장,잡지,사랑의 바다,윌프리드 루파노,이숲,윌프리드 루파노 그래픽노블 『사랑의 바다』. 작은 어촌에 노부부가 살고 있다. 이른 새벽 노인은 아내가 싸준 점심 도시락을 들고 작은 고기잡이 배를 타고 바다로 나간다. 하지만 노인의...
1번 책장,잡지,여우책,구자선,VCR,자기 개발서의 현실적인 충고나 조언보다 따스한 위로를 원하는 현대인을 위한 위로서이자 소중한 사람에게 전하고 싶은 특별한 편지! 품에 안고 속삭이는 듯한 단문의 문구와 부드러운 질감...
1번 책장,잡지,아스테리오스 폴립,데이비드 마추켈리,미메시스,"성공한 중년의 건축가 아스테리오스 폴립, 어느 날 갑자기 모든 것을 잃다! 출간 동시에 주요 만화 상을 휩쓸며 격찬 받은 데이비드 마추켈리의 그래픽 노블 『아스테리오스 폴립』. 성공한..."
1번 책장,잡지,후와 후와,무라카미 하루키,비채,"“안녕하세요, 하루키 씨 ! ‘후와후와’한 게 뭐예요?”고양이, 툇마루, 그리고 따사로운 봄볕처럼 포근한 기억…무라카미 하루키, 안자이 미즈마루 콤비가 빚어낸 유일무이한 그림책..."
